episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/sample_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,perf/gpu_util_percent1,perf/vram_util_percent1,info/learner/policy_0/cur_lr,info/learner/policy_0/policy_loss,info/learner/policy_0/policy_entropy,info/learner/policy_0/var_gnorm,info/learner/policy_0/vf_loss,info/learner/policy_0/grad_gnorm,info/learner/policy_0/vf_explained_var
19.07,-4.84,-0.7994000000000002,501.0,64,14080,False,424960,832,31,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-32-50,1580859170,10.927971124649048,331.44471645355225,29241,gammaumd5,10.70.51.83,331.44471645355225,424960,31,8,deeb1dbc,0,424960,424960,966.764,12.056,10.428,106173.992,1324.004,1280.0,40.642857142857146,48.89999999999999,0.0,0.013525780682643427,0.06,0.07133133678192215,0.0006856191903352737,nan,nan,nan,nan,nan,-1.0
19.07,-4.84,-0.7994000000000006,501.0,0,14080,False,439040,832,32,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-33-01,1580859181,10.790880680084229,342.2355971336365,29241,gammaumd5,10.70.51.83,342.2355971336365,439040,32,8,deeb1dbc,0,439040,439040,966.529,12.956,8.084,98796.657,1324.326,1280.0,41.54666666666666,48.89999999999999,0.0,0.013525780682643427,0.05333333333333334,0.07133133678192215,0.0006851264042779803,nan,nan,nan,nan,nan,-1.0
39.780000000000015,-4.480000000000007,-0.20520000000000072,501.0,64,14080,False,453120,896,33,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-33-11,1580859191,10.843460083007812,353.0790572166443,29241,gammaumd5,10.70.51.83,353.0790572166443,453120,33,8,deeb1dbc,0,453120,453120,966.617,12.361,9.485,103550.278,1324.206,1280.0,41.12142857142857,48.964285714285715,0.0,0.013525780682643427,0.05142857142857143,0.07133133678192215,0.0006846336182206869,nan,nan,nan,nan,nan,-1.0
39.780000000000015,-4.480000000000007,-0.20520000000000066,501.0,0,14080,False,467200,896,34,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-33-22,1580859202,10.607419490814209,363.6864767074585,29241,gammaumd5,10.70.51.83,363.6864767074585,467200,34,8,deeb1dbc,0,467200,467200,936.358,11.893,8.364,107629.695,1366.998,1280.0,40.47857142857142,49.0,0.0,0.013525780682643427,0.05499999999999999,0.07133133678192215,0.0006841407739557326,nan,nan,nan,nan,nan,-1.0
39.780000000000015,-5.71,0.49750000000000677,501.0,64,14080,False,481280,960,35,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-33-33,1580859213,10.7230544090271,374.4095311164856,29241,gammaumd5,10.70.51.83,374.4095311164856,481280,35,8,deeb1dbc,0,481280,481280,940.799,11.751,8.825,108929.477,1360.546,1280.0,40.807142857142864,49.01428571428572,0.0,0.013525780682643427,0.05785714285714285,0.07133133678192215,0.0006836479878984392,nan,nan,nan,nan,nan,-1.0
39.780000000000015,-5.71,0.4975000000000069,501.0,0,14080,False,495360,960,36,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-33-43,1580859223,10.60582971572876,385.01536083221436,29241,gammaumd5,10.70.51.83,385.01536083221436,495360,36,8,deeb1dbc,0,495360,495360,935.331,13.497,9.223,94834.417,1368.499,1280.0,41.864285714285714,49.10000000000001,0.0,0.013525780682643427,0.04714285714285714,0.07133133678192215,0.0006831552018411458,nan,nan,nan,nan,nan,-1.0
39.780000000000015,-5.71,0.4975000000000069,501.0,0,14080,False,509440,960,37,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-33-54,1580859234,10.824827432632446,395.8401882648468,29241,gammaumd5,10.70.51.83,395.8401882648468,509440,37,8,deeb1dbc,0,509440,509440,958.713,12.416,10.189,103092.345,1335.123,1280.0,41.54285714285714,49.10000000000001,0.0,0.013525780682643427,0.05714285714285715,0.07133133678192215,0.0006826624157838523,nan,nan,nan,nan,nan,-1.0
20.71,-4.0,0.04080000000000032,501.0,64,14080,False,523520,1024,38,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-34-05,1580859245,10.895862817764282,406.7360510826111,29241,gammaumd5,10.70.51.83,406.7360510826111,523520,38,8,deeb1dbc,0,523520,523520,973.264,12.432,8.168,102960.078,1315.162,1280.0,41.621428571428574,49.20000000000001,0.0,0.013525780682643427,0.048571428571428564,0.07133133678192215,0.000682169571518898,nan,nan,nan,nan,nan,-1.0
20.71,-4.0,0.04080000000000037,501.0,0,14080,False,537600,1024,39,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-34-16,1580859256,10.88638949394226,417.62244057655334,29241,gammaumd5,10.70.51.83,417.62244057655334,537600,39,8,deeb1dbc,0,537600,537600,969.255,14.338,8.828,89276.275,1320.601,1280.0,41.371428571428574,49.20000000000001,0.0,0.013525780682643427,0.055714285714285716,0.07133133678192215,0.0006816767854616046,nan,nan,nan,nan,nan,-1.0
20.250000000000018,-4.0,-0.3899,501.0,64,14080,False,551680,1088,40,d3db8394cd884b1081d4306dd8af7ef7,2020-02-04_18-34-27,1580859267,10.900477647781372,428.5229182243347,29241,gammaumd5,10.70.51.83,428.5229182243347,551680,40,8,deeb1dbc,0,551680,551680,971.768,13.62,8.582,93976.515,1317.186,1280.0,40.82000000000001,49.22,0.0,0.013525780682643427,0.05866666666666666,0.07133133678192215,0.0006811839994043112,nan,nan,nan,nan,nan,-1.0
