episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/grad_time_ms,info/update_time_ms,info/opt_peak_throughput,info/sample_peak_throughput,info/opt_samples,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/policy_0/cur_lr,info/learner/policy_0/policy_loss,info/learner/policy_0/policy_entropy,info/learner/policy_0/var_gnorm,info/learner/policy_0/vf_loss,info/learner/policy_0/grad_gnorm,info/learner/policy_0/vf_explained_var
353.5799999999975,72.67999999999984,193.8904999999993,501.0,64,12800,False,455680,896,35,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-17-23,1580851043,10.55337142944336,372.30624771118164,61388,Prophet,10.72.12.27,372.30624771118164,455680,35,8,d961c0f2,0,455680,455680,1042.374,7.15,4.361,179021.418,1227.966,1280.0,52.01538461538462,22.5,0.014615384615384617,0.34425632623338787,0.0006844992167316377,4380.4443,15692.357,25.940382,14914.271,39.999996,0.15561247
353.5799999999975,72.67999999999984,193.8904999999994,501.0,0,12800,False,468480,896,36,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-17-34,1580851054,10.49565839767456,382.8019061088562,61388,Prophet,10.72.12.27,382.8019061088562,468480,36,8,d961c0f2,0,468480,468480,1036.602,7.173,4.454,178453.731,1234.804,1280.0,52.39166666666667,22.566666666666666,0.029166666666666674,0.3442563262333879,0.0006840511923655868,-2010.1953,15542.189,26.067606,9512.42,40.000004,0.23154306
313.1899999999976,105.13000000000075,201.28349999999938,501.0,64,14080,False,482560,960,37,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-17-44,1580851064,10.813857078552246,393.61576318740845,61388,Prophet,10.72.12.27,393.61576318740845,482560,37,8,d961c0f2,0,482560,482560,971.386,7.224,4.495,177199.155,1317.705,1280.0,51.81538461538461,22.6,0.015384615384615387,0.34425632623338787,0.0006836032262071967,782.0673,13657.855,26.069723,17262.906,40.000004,0.07545167
313.1899999999976,105.13000000000075,201.28349999999932,501.0,0,12800,False,495360,960,38,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-17-55,1580851075,10.582221269607544,404.197984457016,61388,Prophet,10.72.12.27,404.197984457016,495360,38,8,d961c0f2,0,495360,495360,1039.952,7.26,9.459,176319.235,1230.826,1280.0,50.82307692307692,22.56153846153846,0.009999999999999998,0.34425632623338787,0.0006831103819422424,3312.2065,15372.19,26.093012,15099.377,40.000008,0.1296736
313.1899999999976,105.13000000000075,201.28349999999932,501.0,0,14080,False,509440,960,39,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-18-06,1580851086,10.57053828239441,414.7685227394104,61388,Prophet,10.72.12.27,414.7685227394104,509440,39,8,d961c0f2,0,509440,509440,944.398,7.305,4.193,175233.836,1355.361,1280.0,50.20833333333332,22.5,0.012500000000000002,0.3442563262333879,0.0006826624157838523,-530.19934,15391.173,26.121634,9315.796,40.0,0.21677089
351.85999999999837,105.13000000000075,215.9018999999992,501.0,64,12800,False,522240,1024,40,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-18-16,1580851096,10.547085762023926,425.3156085014343,61388,Prophet,10.72.12.27,425.3156085014343,522240,40,8,d961c0f2,0,522240,522240,1041.814,7.037,4.487,181906.894,1228.627,1280.0,50.8,22.6,0.010769230769230769,0.34425632623338787,0.000682169571518898,-639.02997,15265.135,26.161488,11336.908,40.0,0.18592513
351.85999999999837,105.13000000000075,215.9018999999991,501.0,0,14080,False,536320,1024,41,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-18-27,1580851107,10.758810997009277,436.0744194984436,61388,Prophet,10.72.12.27,436.0744194984436,536320,41,8,d961c0f2,0,536320,536320,959.648,7.383,4.429,173372.078,1333.822,1280.0,50.79999999999999,22.6,0.01153846153846154,0.34425632623338787,0.000681721605360508,-662.4377,14984.033,26.203745,9716.59,39.999996,0.24997586
336.9899999999966,95.91999999999989,211.50169999999923,501.0,64,12800,False,549120,1088,42,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-18-37,1580851117,10.092789649963379,446.167209148407,61388,Prophet,10.72.12.27,446.167209148407,549120,42,8,d961c0f2,0,549120,549120,996.467,7.016,4.272,182436.646,1284.538,1280.0,50.13333333333333,22.599999999999998,0.011666666666666667,0.3442563262333879,0.0006812288193032146,6980.1724,15111.932,26.14955,23805.234,40.0,0.25181973
336.9899999999966,95.91999999999989,211.50169999999926,501.0,0,12800,False,561920,1088,43,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-18-48,1580851128,10.353985071182251,456.52119421958923,61388,Prophet,10.72.12.27,456.52119421958923,561920,43,8,d961c0f2,0,561920,561920,1022.129,7.157,4.732,178843.703,1252.288,1280.0,50.75833333333333,22.599999999999998,0.009999999999999998,0.3442563262333879,0.0006807807949371636,1969.4158,15410.487,26.211834,13340.539,40.0,0.16843235
336.9899999999966,95.91999999999989,211.50169999999926,501.0,0,14080,False,576000,1088,44,309df21445a34ce09c0dd67751d2dfab,2020-02-04_16-18-58,1580851138,10.417169332504272,466.9383635520935,61388,Prophet,10.72.12.27,466.9383635520935,576000,44,8,d961c0f2,0,576000,576000,937.309,7.147,4.51,179101.446,1365.611,1280.0,50.13333333333333,22.599999999999998,0.010833333333333332,0.3442563262333879,0.0006803328287787735,-1892.8179,15450.812,26.317183,8073.0767,39.999996,0.29788423
