episode,reward
43968,-100.62286268107948
44064,-100.37291163222835
44160,-102.2673733741313
44256,-104.26392221597303
44352,-102.91303619221662
44448,-103.09966190531364
44544,-102.39234822142079
44640,-101.86417773612396
44736,-101.13686990900192
44832,-107.32515165729632
44928,-101.12910141935447
45024,-103.10911303888373
45120,-105.77957705690022
45216,-103.31365813905927
45312,-102.07666203091745
45408,-104.10237844791101
45504,-100.49872526492982
45600,-105.68167545484175
45696,-104.58646317686478
45792,-100.50738094549428
45888,-103.40772085910811
45984,-99.52134222535591
46080,-106.4622535280678
46176,-103.53541779635283
46272,-99.39193588116422
46368,-100.18998170455586
46464,-102.34350443335535
46560,-97.43464634250819
46656,-103.45257309496594
46752,-102.78766890547297
46848,-102.39127094404276
46944,-103.05831242219928
47040,-100.94968982993066
47136,-101.40487220393658
47232,-102.07596374359355
47328,-100.0027959309057
47424,-102.153251272928
47520,-100.14102758582956
47616,-100.12742256199263
47712,-106.79099134317704
47808,-99.84809765460531
47904,-103.88747257171534
48000,-99.52834591201335
48096,-100.01557933431103
48192,-100.69481582033872
48288,-102.65796559214985
48384,-103.96283007224812
48480,-102.40553033835769
48576,-98.6777765218551
48672,-99.10193782375663
48768,-104.87367376877101
48864,-103.04241536811851
48960,-102.09623021093533
49056,-100.57502327685029
49152,-100.77272348430435
49248,-102.62856332621845
49344,-99.44605002193452
49440,-99.0663660186213
49536,-100.04889286961645
49632,-101.95079461973253
49728,-105.5004718917042
49824,-105.26579459764375
49920,-104.2154859045962
50016,-106.20092002459091
50112,-102.67333017846497
50208,-100.00651051514436
50304,-102.53929060739043
50400,-102.45877308444807
50496,-103.39089125805785
50592,-101.64904823049673
50688,-100.35493617855764
50784,-101.5583366491531
50880,-105.56463486236467
50976,-105.96228867926168
51072,-101.36217877406064
51168,-102.07107725433053
51264,-101.51812408959559
51360,-105.80030393667647
51456,-104.37124866896434
51552,-104.44335827834581
51648,-103.2923786144457
51744,-104.12231118060771
51840,-101.47812219408345
