episode,return_mean
66752,-35.4261
66808,-35.6344
66868,-36.3135
66924,-37.2499
66968,-38.0591
67016,-39.6658
67064,-40.4304
67112,-40.1889
67168,-40.3671
67232,-41.0989
67284,-40.7711
67332,-40.0977
67388,-39.1971
67448,-40.5767
67500,-39.7798
67552,-41.0114
67608,-40.7213
67660,-40.6378
67720,-38.3956
67772,-38.4545
67828,-37.668
67892,-38.8535
67940,-39.2135
67996,-39.9054
68052,-40.8968
68100,-40.8845
68156,-41.0683
68204,-40.8886
68252,-40.7425
68296,-39.4919
68344,-38.8557
68392,-39.0643
68436,-40.1104
68496,-40.3927
68556,-41.2347
68612,-42.3288
68672,-42.8304
68728,-43.2205
68784,-43.7693
68840,-43.8789
68904,-44.3266
68960,-43.661
69028,-43.2613
69084,-43.0848
69148,-42.4758
69220,-41.6456
69284,-40.9707
69344,-41.2085
69400,-41.0554
69480,-41.4991
69544,-42.0427
69612,-42.1312
69676,-41.6784
69744,-41.9871
69816,-41.6182
69880,-40.6411
69964,-40.7256
70016,-39.8928
70076,-39.605
70140,-39.4699
70196,-39.7094
70264,-39.48
70336,-40.8772
70388,-39.5962
70452,-40.2367
70512,-39.5914
70580,-39.5079
70644,-38.2507
70720,-39.0915
70808,-38.2475
70884,-39.341
70948,-40.0541
71020,-40.7241
71076,-39.7384
71160,-40.6259
71224,-40.4577
71296,-39.8024
71356,-39.3761
71428,-41.3931
71492,-40.3974
71552,-39.8872
71616,-39.9886
71680,-39.9848
71756,-39.4135
71832,-39.9031
71900,-40.8124
71980,-41.133
72052,-42.3072
72124,-42.4143
72204,-42.491
72280,-41.9682
72352,-41.6213
72440,-41.3563
72508,-40.6875
72580,-40.8512
72644,-40.729
72716,-40.8055
72784,-39.7625
72844,-39.4238
72900,-38.8157
72976,-38.4972
73048,-38.6749
73124,-39.5518
73200,-40.6672
73268,-40.6951
73340,-41.4487
73404,-41.9752
73468,-41.44
73536,-41.6065
73600,-41.4696
73664,-40.4028
73732,-39.2811
73780,-38.7159
73840,-37.6444
73904,-37.9767
73976,-39.6171
74056,-40.6407
74116,-41.7897
74180,-41.8828
74252,-42.5992
74328,-41.9211
74396,-41.8887
74476,-41.2584
74544,-41.6901
74604,-40.3631
74668,-39.9527
74740,-40.0177
74792,-39.0934
74852,-39.2494
74928,-40.0337
75004,-39.892
75064,-39.1706
75124,-39.7457
75200,-39.3437
75268,-39.2747
75336,-39.4693
75392,-38.8938
75444,-37.8755
75504,-37.5463
75560,-37.6061
75628,-38.8265
75700,-39.8371
75760,-41.4673
75824,-42.2749
75892,-42.8807
75956,-42.0734
76016,-41.3967
76064,-39.6338
76120,-39.4286
76176,-38.4222
76236,-37.3769
76308,-38.4005
76364,-39.3377
76408,-38.3684
76456,-38.5206
76512,-39.2979
76572,-37.9605
76628,-39.8732
76684,-39.9554
76736,-39.8855
76800,-39.4026
76852,-38.2668
76904,-36.7165
76968,-37.2778
77028,-36.6982
77088,-37.321
77144,-39.2111
77200,-39.4907
77264,-39.3176
77316,-40.4684
77388,-40.3638
77456,-40.3841
77516,-40.9984
77576,-42.0936
77632,-42.0785
77700,-42.5376
77772,-42.7669
77840,-42.7279
77908,-41.5832
77972,-41.0901
78040,-41.2943
78116,-40.7886
78192,-41.0718
78284,-41.8408
78356,-41.7734
78420,-41.9365
78492,-41.8989
78564,-41.5886
78656,-42.0082
78728,-41.6933
78812,-41.483
78888,-42.505
78964,-42.0905
79036,-42.6189
79112,-43.0245
79184,-42.7338
79260,-42.5724
79344,-43.2263
79420,-42.2273
79480,-42.306
79552,-41.8313
79624,-41.8143
79700,-41.8436
79760,-40.7205
79824,-40.7273
79884,-41.03
79952,-40.616
80016,-39.8939
80080,-40.6864
80144,-40.5877
80212,-40.5607
80264,-39.3282
80332,-39.1983
80400,-39.4173
80468,-39.5104
80540,-39.1105
80608,-40.1048
80668,-40.2411
80732,-39.5602
80792,-38.8339
80852,-38.9195
80908,-37.6169
80976,-37.2922
81036,-38.7353
81100,-39.2044
81176,-39.6686
81240,-40.6341
81304,-40.3087
81372,-39.4966
81452,-40.2467
81520,-40.6974
81608,-41.2288
81684,-42.2501
81760,-42.5594
81836,-42.3675
81904,-42.2155
81956,-41.4034
82016,-41.4566
82092,-41.3512
82152,-41.2021
82232,-40.7296
82296,-41.7031
82352,-42.7711
82400,-41.9369
82448,-41.4588
82496,-42.2328
82552,-42.3428
82608,-40.266
82664,-40.9592
82708,-40.2581
82760,-39.0983
82812,-38.8204
82856,-39.4208
82900,-38.1132
82944,-38.2427
82988,-37.8144
83028,-35.7627
83076,-36.4225
83124,-38.0432
83180,-39.6212
83228,-40.5595
83272,-44.0631
83316,-43.9009
83360,-43.1651
83404,-41.422
83448,-39.7181
83492,-36.8245
83536,-36.277
83580,-35.7489
83628,-36.8518
83672,-37.8335
83716,-37.3372
83764,-37.678
83808,-36.6518
83852,-37.137
83896,-37.6534
83940,-37.712
83988,-39.0983
84036,-40.2444
84084,-39.6321
84136,-39.7144
84172,-39.6936
84220,-37.201
84272,-38.2732
84324,-38.7979
84368,-38.5867
84420,-40.5292
84464,-41.6597
84512,-42.563
84556,-42.188
84600,-41.035
84644,-40.4341
84688,-39.9975
84736,-38.9598
84784,-38.918
84828,-39.3326
84868,-38.7918
84912,-38.9152
84952,-38.7351
84992,-37.3007
85032,-36.8682
85072,-37.8786
85112,-36.9319
85152,-35.4659
85184,-35.8221
85220,-35.247
85256,-35.5015
85296,-36.0478
85328,-35.3064
85368,-36.876
85408,-38.7148
85448,-39.0567
85492,-40.479
85532,-42.2968
85572,-42.6596
85612,-43.2471
85652,-40.9954
85692,-39.4487
85732,-40.1919
85772,-38.9066
85812,-37.8608
85852,-39.0822
85892,-38.5693
85936,-38.106
85972,-38.2765
86004,-36.2195
86040,-36.1538
86080,-36.7862
86116,-35.7409
86152,-34.6808
86188,-37.3691
86220,-36.1122
